C1,C2,years,war,invpath
66,99999,88,.034091,.0625252
390,99999,88,0,.0850407
379,99999,87,.057471,.1435455
375,99999,87,0,.0888855
83,99999,87,0,.0946441
216,240,86,.011628,.0889168
240,389,86,0,.1926545
220,240,86,0,.0313953
240,390,86,0,.5637762
177,240,86,0,.262124
240,343,86,0,.0959593
240,99999,86,0,.0947802
240,385,86,0,.1732747
106,240,86,0,.1540467
83,240,86,0,.3366694
66,240,86,0,.1259136
240,379,85,.011765,.224309
240,375,85,0,.077928
20,87,82,.04878,.2679539
296,99999,80,0,.2042293
20,170,79,.050633,.2760197
240,296,79,0,.0866643
27,70,69,0,.0140536
250,99999,68,0,.0355976
250,343,68,0,.0344882
250,389,68,0,.0541842
106,250,68,0,.0458396
250,379,68,0,.0551471
177,250,68,0,.0481083
220,250,68,0,.0235294
250,390,68,0,.0514359
250,385,68,0,.0630252
66,250,68,0,.019194
216,250,68,0,.0256242
250,375,67,0,.0179104
240,250,67,0,.0595182
83,250,67,0,.0612845
177,346,64,0,.0710403
216,346,64,0,.4762587
346,389,64,.015625,.0780428
296,346,64,0,.1217704
346,385,64,0,.0841511
172,346,64,0,.0767073
83,346,64,0,.1019424
346,375,64,.078125,.2329427
343,346,64,0,.3039063
346,390,64,.015625,.0463191
178,293,62,0,.0931762
293,379,62,0,.2533333
87,293,62,0,.483871
293,343,62,0,.75
83,293,62,0,0
70,293,62,0,.0118349
293,390,62,0,.0564516
293,375,62,0,.625
291,293,62,.112903,0
293,389,62,0,.0564516
56,293,62,.064516,.0255376
157,293,62,0,.0056004
293,344,62,0,.75
293,339,62,.080645,.1923077
293,304,62,.451613,.1553763
216,293,62,0,.6888889
177,293,62,0,.2021505
172,293,62,0,.0485663
170,293,62,0,.5
293,296,62,0,.4112903
293,385,61,0,.0491803
250,296,60,0,.0203636
19,20,57,0,.1266586
28,172,57,.017544,.1817669
19,296,57,0,.079295
20,28,57,0,.3099415
28,66,57,0,.1435742
19,28,57,0,.1234127
63,216,57,0,.2426401
19,390,57,.017544,.0684097
82,379,57,0,.0998643
28,216,57,0,.1076506
63,172,57,.017544,.2020468
19,172,57,.017544,.1765076
27,346,57,0,.0695271
82,385,57,0,.0749246
63,389,57,0,.1800752
28,106,57,0,.1435742
28,390,57,.017544,.0893468
19,63,57,0,.1777512
28,389,57,0,.1144844
63,343,57,.017544,.1028073
56,63,57,0,.1035819
106,172,57,0,.3625731
82,343,57,0,.1284246
19,177,57,0,.1485942
19,385,57,0,.1026493
63,390,57,.017544,.0927887
82,389,57,0,.072836
20,106,57,0,.1658313
63,177,57,0,.1256579
63,106,57,0,.2488026
19,83,57,0,.1683632
63,385,57,0,.1800752
28,63,57,0,.1902256
19,343,57,.017544,.0552069
82,216,57,.035088,.1076023
28,177,57,0,.1120617
28,56,57,0,.0607152
63,66,57,0,.2488026
82,390,57,0,.0868516
56,106,57,0,.0675191
19,106,57,0,.1151468
63,83,57,0,.3615706
19,66,57,0,.1151468
20,63,57,0,.3821637
28,83,57,0,.3097327
82,177,57,0,.0899251
63,296,57,0,.1160356
28,343,57,.017544,.075035
19,56,57,0,.0796372
19,216,57,0,.0814037
19,389,57,0,.1026493
28,296,57,0,.076776
28,385,57,0,.1144844
82,375,56,0,.0646284
19,375,56,0,.0682071
28,375,56,0,.0887823
82,83,56,0,.0909806
20,346,56,0,.1743516
28,379,56,0,.1166237
56,346,56,0,.150496
63,379,56,0,.2537319
63,375,56,0,.1217594
19,379,56,0,.1191746
63,220,55,0,0
19,220,55,0,0
28,220,55,0,0
56,220,55,0,0
172,220,55,0,0
346,379,55,0,.4069697
20,220,55,0,0
304,346,54,.037037,.1118166
82,400,53,0,.0685535
19,304,53,0,.0383853
82,99999,53,0,.3176101
106,304,53,0,.0430334
66,400,53,0,.0206245
28,304,53,.018868,.0341266
216,400,53,0,.1080618
82,106,53,0,.0875876
379,400,53,0,.0456115
390,400,53,0,.0541498
177,400,53,0,.048755
63,304,53,0,.0546803
220,400,53,0,.0232221
385,400,53,0,.053909
343,400,53,0,.0412597
400,99999,53,0,.0918688
82,220,53,0,.0616352
82,250,53,0,.047074
250,400,53,0,.0355554
106,400,53,0,.084775
66,82,53,0,.0396381
389,400,53,0,.053909
82,240,52,0,.1129894
27,28,52,0,.116736
375,400,52,0,.0207418
19,27,52,0,.0800561
240,400,52,0,.0508743
27,106,52,0,.131343
27,63,52,0,.1497687
83,400,52,0,.0474148
220,304,51,0,0
27,220,50,0,0
34,83,49,0,.0892477
34,66,49,0,.0964141
34,56,49,0,.0402076
34,390,49,0,.6720833
19,34,49,0,.0479117
34,389,49,0,.0614073
